,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sample_type,max_torque_rpm
0,mahindra xylo,2010,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,7,TEST,2200.0
1,tata nexon,2017,665000,25000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,260.0,5,TEST,2750.0
2,honda civic,2007,175000,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,172.0,5,TEST,4300.0
3,honda city,2015,635000,173000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200.0,5,TEST,1750.0
4,tata indica,2011,130000,70000,Petrol,Individual,Manual,Second Owner,16.5,1172,65.0,96.0,5,TEST,3000.0
5,mahindra thar,2019,975000,12584,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,247.0,6,TEST,2000.0
6,chevrolet spark,2011,150000,35000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3,5,TEST,4200.0
7,maruti ritz,2012,275000,70000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,114.0,5,TEST,4000.0
8,maruti alto,2011,140000,72000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,TEST,3000.0
9,hyundai creta,2016,850000,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,TEST,2750.0
10,hyundai verna,2018,1150000,49000,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,259.87,5,TEST,3000.0
11,lexus es,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5,TEST,5200.0
12,honda amaze,2017,600000,24500,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,200.0,5,TEST,1750.0
13,hyundai i,2009,142000,110000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,111.7,5,TEST,4000.0
14,ford figo,2019,530000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,TEST,4000.0
15,jeep wrangler,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,347.0,5,TEST,4300.0
16,maruti ertiga,2014,560000,25000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,130.0,7,TEST,4000.0
17,tata indica,2012,140000,185000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,135.4,5,TEST,2500.0
18,hyundai i,2014,440000,62200,Petrol,Dealer,Manual,First Owner,17.0,1197,80.0,111.7998,5,TEST,4000.0
19,hyundai accent,2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,124.6,5,TEST,3500.0
20,maruti swift,2011,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,TEST,2000.0
21,maruti zen,2010,100000,180000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,90.0,5,TEST,3500.0
22,hyundai creta,2015,750000,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,TEST,2750.0
23,tata nano,2015,250000,20000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,51.0,4,TEST,4000.0
24,maruti swift,2017,754000,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,TEST,2000.0
25,ford figo,2015,415000,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,215.0,5,TEST,3000.0
26,hyundai verna,2017,860000,40000,Diesel,Individual,Manual,Second Owner,22.0,1582,126.2,259.87,5,TEST,3000.0
27,mahindra xuv,2015,919999,140000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,TEST,2800.0
28,hyundai grand,2014,425000,60000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,160.0,5,TEST,2750.0
29,hyundai i,2016,540000,80000,Diesel,Individual,Manual,Third Owner,21.19,1396,88.73,219.66,5,TEST,2750.0
30,mahindra marazzo,2019,1460000,5000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,300.0,7,TEST,2500.0
31,renault duster,2017,850000,50000,Diesel,Individual,Automatic,First Owner,19.6,1461,108.45,245.0,5,TEST,1750.0
32,toyota innova,2012,650000,138000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,200.06279999999998,8,TEST,3400.0
33,ford classic,2013,250000,60000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,146.0,5,TEST,3400.0
34,toyota etios,2012,405000,150000,Diesel,Individual,Manual,First Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
35,honda amaze,2013,300000,120000,Petrol,Individual,Manual,Second Owner,18.0,1198,86.7,109.0,5,TEST,4500.0
36,hyundai santro,2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68.0,99.0,5,TEST,4500.0
37,tata indica,2012,200000,90000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,190.0,5,TEST,3000.0
38,chevrolet enjoy,2013,350000,37000,Petrol,Dealer,Manual,First Owner,13.7,1399,98.79,131.0,7,TEST,4400.0
39,skoda rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5,TEST,3800.0
40,maruti swift,2012,250000,100000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,190.0,5,TEST,2000.0
41,tata indigo,2014,300000,45000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,TEST,2500.0
42,hyundai i,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.7,5,TEST,4000.0
43,hyundai grand,2014,375000,76000,Diesel,Individual,Manual,Third Owner,24.0,1120,70.0,159.8,5,TEST,2750.0
44,maruti wagon,2017,400000,110000,CNG,Individual,Manual,First Owner,26.6,998,58.16,77.0,5,TEST,3500.0
45,mahindra bolero,2012,450000,135000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,TEST,2200.0
46,skoda fabia,2011,325000,160000,Diesel,Individual,Manual,Third Owner,20.86,1199,75.0,180.0,5,TEST,2000.0
47,hyundai i,2010,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.8,5,TEST,4000.0
48,maruti eeco,2019,359000,5500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101.0,7,TEST,3000.0
49,honda amaze,2019,670000,5000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,110.0,5,TEST,4800.0
50,hyundai eon,2014,180000,62000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,TEST,4000.0
51,hyundai i,2010,254999,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0,111.7998,5,TEST,4000.0
52,maruti swift,2019,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,TEST,2000.0
53,maruti ertiga,2014,560000,90000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,200.0,7,TEST,1750.0
54,maruti swift,2012,300000,88000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,114.0,5,TEST,4000.0
55,renault kwid,2018,275000,20000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,TEST,4250.0
56,maruti ritz,2012,320000,40000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,114.0,5,TEST,4000.0
57,tata sumo,2012,254999,190000,Diesel,Individual,Manual,Third Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
58,hyundai i,2012,300000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7,5,TEST,4000.0
59,tata indica,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,135.4,5,TEST,2500.0
60,toyota etios,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,132.0,5,TEST,3000.0
